BrFactor_ADAPT,nChromoSi_AWSoM,PoyntingFluxPerBSi,LperpTimesSqrtBSi,StochasticExponent,BrMin,rMinWaveReflection,REALIZATIONS_ADAPT,PFSS,UseSurfaceWaveRefl,Outcomes,rmse_Ur,rmse_Np,rmse_B,rmse_T,shift,Tmin,Tmax
0.545294118,1.12941e18,639215.6863,213308.8235,0.29,5.477941176,1.101470588,3.0,1.0,1.0,1,96.46198048039298,6.21623529290879,4.179820553168785,71859.1794343127,2,0.2,0.8
0.555882353,4.98824e18,776470.5882,245073.5294,0.220588235,7.120098039,1.094607843,1.0,1.0,2.0,1,211.2246898970317,6.331280570839807,4.217432694840854,82731.97753046214,13,0.2,0.8
0.566470588,2.02353e18,866666.6667,186838.2353,0.31,8.00245098,1.075,9.0,1.0,1.0,1,122.25374701117882,5.715446356430543,3.9939493434174134,66315.11414027863,-1,0.2,0.8
0.577058824,4.0e18,384313.7255,108750.0,0.295882353,5.183823529,1.057352941,5.0,1.0,2.0,1,188.72105219859984,7.068033755489281,4.526583133285029,86599.06921619012,0,0.2,0.8
0.587647059,2.54118e18,450980.3922,148455.8824,0.205294118,5.526960784,1.131862745,9.0,1.0,1.0,1,114.29426366363822,6.668174958224323,4.375944081699293,65208.4293092503,4,0.2,0.8
0.598235294,1.57647e18,831372.549,115367.6471,0.194705882,6.75245098,1.00245098,1.0,1.0,2.0,1,161.44118477316837,6.156789690836062,4.207683047747245,83447.76107141569,6,0.2,0.8
0.608823529,3.36471e18,674509.8039,235808.8235,0.162941176,7.806372549,1.025,5.0,1.0,1.0,1,134.0169433532541,6.1873500676794215,4.176023719449188,76535.916488164,2,0.2,0.8
0.619411765,7.05882e17,560784.3137,61102.94118,0.218235294,6.360294118,1.034803922,6.0,1.0,2.0,1,128.70304094866827,6.619226490985786,4.385889105172667,65290.235016286584,2,0.2,0.8
0.63,1.69412e18,764705.8824,291397.0588,0.239411765,8.81127451,1.065196078,4.0,1.0,1.0,1,116.25869776568918,5.391150469588238,3.9081039671550775,63962.42645210709,5,0.2,0.8
2.588823529,4.07059e18,454901.9608,196102.9412,0.192352941,9.595588235,1.199509804,9.0,1.0,2.0,1,135.68711102158952,14.792587160312932,2.6901223192808925,66957.02419643449,-21,0.2,0.8
1.932352941,3.05882e18,976470.5882,181544.1176,0.327647059,7.169117647,1.15245098,1.0,1.0,1.0,1,107.86986476740681,36.62080281070108,3.7711550972641965,81274.04063223326,-33,0.2,0.8
0.725294118,1.22353e18,501960.7843,116691.1765,0.253529412,7.659313725,1.172058824,9.0,1.0,2.0,1,153.43019304706868,6.399787937751938,4.2006701840584695,83337.99708918098,8,0.2,0.8
0.672352941,1.64706e18,321568.6275,201397.0588,0.152352941,6.115196078,1.115196078,6.0,1.0,1.0,1,165.40586183908945,6.975691975207535,4.400732340648939,72951.63416679147,-4,0.2,0.8
0.682941176,5.64706e17,603921.5686,91544.11765,0.100588235,8.737745098,1.155392157,2.0,1.0,2.0,1,164.8271505129581,5.7645736971603325,4.039223168336586,79381.01092014484,9,0.2,0.8
0.693529412,3.64706e18,788235.2941,45220.58824,0.258235294,6.801470588,1.104411765,6.0,1.0,1.0,1,113.06381015082471,5.004439075023863,3.682365630660413,63988.0800093195,-3,0.2,0.8
0.704117647,2.4e18,858823.5294,209338.2353,0.114705882,9.424019608,1.136764706,8.0,1.0,2.0,1,215.76029100160957,5.778019924703798,3.958345505205298,116745.35943534323,5,0.2,0.8
0.714705882,4.32941e18,580392.1569,286102.9412,0.108823529,6.531862745,1.012254902,2.0,1.0,1.0,1,121.1258930752025,5.7829522597254455,4.147090021726376,69676.22699415317,6,0.2,0.8
0.651176471,2.94118e18,1.039215686e6,135220.5882,0.252352941,8.492647059,1.022058824,6.0,1.0,2.0,1,167.4081676394182,5.52565857378833,3.9049010685040875,60424.980924238844,1,0.2,0.8
0.735882353,4.75294e18,1.058823529e6,180220.5882,0.288823529,9.007352941,1.19754902,7.0,1.0,1.0,1,135.40535157015123,8.041132902004842,3.5059819657078513,74718.05268223755,-3,0.2,0.8
0.746470588,4.58824e18,509803.9216,53161.76471,0.227647059,8.762254902,1.001470588,12.0,1.0,2.0,1,140.3174796242633,6.516238556904265,4.318319210635794,87496.61289980575,-8,0.2,0.8
0.767647059,6.82353e17,505882.3529,255661.7647,0.126470588,7.218137255,1.075980392,3.0,1.0,1.0,1,111.65911064575525,6.05489395126426,4.144435148194318,61531.32167799051,2,0.2,0.8
0.799411765,3.38824e18,427450.9804,294044.1176,0.261764706,5.870098039,1.163235294,3.0,1.0,2.0,1,163.45492556426197,6.379018562680166,4.154811828946306,69654.5871447216,2,0.2,0.8
1.635882353,4.70588e18,800000.0,128602.9412,0.234705882,5.036764706,1.127941176,7.0,1.0,1.0,1,106.02225076457819,23.663027853976466,3.5439891121040503,80676.60598622703,-42,0.2,0.8
0.788823529,1.31765e18,701960.7843,172279.4118,0.207647059,8.24754902,1.046568627,3.0,1.0,2.0,1,128.7764839192827,5.606654089669133,3.8733419214621936,67469.38404994142,7,0.2,0.8
0.81,3.76471e17,960784.3137,229191.1765,0.262941176,9.325980392,1.005392157,5.0,1.0,1.0,1,102.19055947958913,6.140568354748915,3.462857637225773,76141.10714947418,-1,0.2,0.8
1.89,4.94118e17,1.047058824e6,190808.8235,0.148823529,5.257352941,1.140686275,5.0,1.0,2.0,1,132.68360646600055,51.659696403323146,4.652578087300325,85228.89286658434,-29,0.2,0.8
1.646470588,3.2e18,631372.549,100808.8235,0.321764706,8.149509804,1.008333333,6.0,1.0,1.0,1,114.58081662867953,15.54990804513167,3.527284042412367,86759.55253169448,-37,0.2,0.8
0.831176471,2.8e18,439215.6863,38602.94118,0.193529412,9.227941176,1.078921569,6.0,1.0,2.0,1,139.56286449671148,6.11618293041809,4.138111735521734,97991.38918907274,-10,0.2,0.8
2.038235294,2.65882e18,1.019607843e6,274191.1765,0.195882353,6.31127451,1.186764706,4.0,1.0,1.0,1,122.63391020319155,41.056712187743145,3.8798627045849443,76488.20553440726,-25,0.2,0.8
0.873529412,1.50588e18,549019.6078,250367.6471,0.167647059,9.276960784,1.159313725,4.0,1.0,2.0,1,150.88022927099428,5.541172262239252,3.9257015084553806,71471.27009965906,3,0.2,0.8
0.841764706,4.25882e18,349019.6078,99485.29412,0.101764706,7.316176471,1.106372549,8.0,1.0,1.0,1,131.33886575643217,6.349816512761413,4.19063755691271,81153.0625860529,-14,0.2,0.8
1.762941176,1.05882e18,337254.902,288750.0,0.331176471,6.899509804,1.150490196,10.0,1.0,2.0,1,101.13916449781146,4.579799688170546,3.2421279249267654,74159.1476876506,-27,0.2,0.8
0.884117647,3.45882e18,984313.7255,127279.4118,0.297058824,9.546568627,1.110294118,9.0,1.0,1.0,1,88.42477742541747,6.4283188224724634,3.2814480583515286,70317.1163515543,-5,0.2,0.8
1.148823529,3.81176e18,572549.0196,227867.6471,0.282941176,5.306372549,1.144607843,1.0,1.0,2.0,1,98.1146377256319,4.69630281017491,3.5937801521074504,66567.39142467432,-14,0.2,0.8
0.905294118,1.85882e18,835294.1176,221250.0,0.139411765,5.968137255,1.196568627,12.0,1.0,1.0,1,106.22089121811837,5.505993097733669,3.544061563584709,62103.57243269549,-11,0.2,0.8
0.915882353,3.74118e18,956862.7451,239779.4118,0.107647059,5.085784314,1.050490196,10.0,1.0,2.0,1,127.92313477015175,5.680192856824354,3.3954863175912733,59994.325544413725,-8,0.2,0.8
0.926470588,4.14118e18,725490.1961,80955.88235,0.217058824,9.448529412,1.068137255,1.0,1.0,1.0,1,72.12267955159487,4.6218311537743455,3.528713417417147,65634.55258514709,-2,0.2,0.8
0.937058824,8.70588e17,400000.0,133897.0588,0.117058824,9.742647059,1.113235294,3.0,1.0,2.0,1,173.67605606587483,6.0919419016759315,3.9537414239709263,95622.94620685224,-12,0.2,0.8
0.958235294,2.84706e18,815686.2745,193455.8824,0.235882353,6.213235294,1.042647059,5.0,1.0,1.0,1,82.32143893651941,4.94554299403499,3.307747389417077,71188.58592363862,-4,0.2,0.8
2.271176471,2.14118e18,666666.6667,35955.88235,0.154705882,7.144607843,1.171078431,2.0,1.0,2.0,1,137.24566953708518,31.85778707125935,3.7533300307699347,80635.94532349569,-10,0.2,0.8
0.968823529,2.35294e17,713725.4902,243750.0,0.335882353,8.566176471,1.09754902,7.0,1.0,1.0,1,81.22510177798469,5.010792657781554,3.4709086335669914,85888.14050244266,-11,0.2,0.8
0.979411765,2.42353e18,623529.4118,296691.1765,0.294705882,7.585784314,1.032843137,9.0,1.0,2.0,1,118.11177682697844,5.020319059528831,3.7242700577351715,69584.82326698578,1,0.2,0.8
1.011176471,5.17647e17,913725.4902,79632.35294,0.13,5.453431373,1.027941176,1.0,1.0,1.0,1,87.03299542732992,6.6786623917481025,3.3965490613914304,70173.62475460136,-8,0.2,0.8
1.000588235,4.68235e18,525490.1961,266250.0,0.212352941,5.600490196,1.176960784,8.0,1.0,2.0,1,124.19240646649318,5.061198084370505,3.838343747160514,65370.84946434939,-6,0.2,0.8
0.99,3.6e18,905882.3529,169632.3529,0.172352941,7.43872549,1.083823529,7.0,1.0,1.0,1,88.94977448839994,6.517211059063724,3.290294342542773,68838.27495010514,-11,0.2,0.8
1.021764706,2.87059e18,768627.451,65073.52941,0.105294118,8.026960784,1.118137255,4.0,1.0,2.0,1,115.6101078958818,6.230658101883419,3.5459615539383496,74863.40422141949,-24,0.2,0.8
1.032352941,4.47059e17,364705.8824,204044.1176,0.228823529,8.198529412,1.148529412,2.0,1.0,1.0,1,100.18093402542523,5.831070475867136,4.031805393000736,74271.88790933178,-13,0.2,0.8
1.042941176,4.61176e18,807843.1373,121985.2941,0.333529412,8.345588235,1.05245098,10.0,1.0,2.0,1,76.81453462850855,5.891222316011887,3.4495877818452843,72798.43280833327,-22,0.2,0.8
2.662941176,2.07059e18,462745.098,151102.9412,0.281764706,9.080882353,1.103431373,10.0,1.0,1.0,1,124.27627495145961,17.86173849692741,2.6087515933585532,76251.39867274262,-20,0.2,0.8
1.064117647,2.49412e18,564705.8824,78308.82353,0.232352941,9.693627451,1.165196078,10.0,1.0,2.0,1,93.86801777580521,5.134683128000322,3.634987811843386,76109.88206208014,-29,0.2,0.8
1.254705882,7.76471e17,780392.1569,164338.2353,0.161764706,9.399509804,1.180882353,3.0,1.0,1.0,1,82.05397085139045,10.263185153344692,3.3183632016343325,72945.64997906568,-27,0.2,0.8
2.080588235,4.16471e18,407843.1373,67720.58824,0.146470588,8.296568627,1.183823529,3.0,1.0,2.0,1,103.21312376951144,9.220711070489655,2.988556969944064,68270.75666213485,-28,0.2,0.8
1.095882353,4.0e17,482352.9412,88897.05882,0.300588235,7.389705882,1.045588235,7.0,1.0,1.0,1,92.75505464450919,4.957076902042828,3.8506421309474255,82268.90931562174,-44,0.2,0.8
1.106470588,3.17647e18,847058.8235,262279.4118,0.275882353,8.615196078,1.194607843,6.0,1.0,2.0,1,101.27839205515049,6.735976245183673,3.137316358056638,64791.95769541401,-8,0.2,0.8
1.117058824,4.56471e18,662745.098,173602.9412,0.128823529,8.835784314,1.124019608,6.0,1.0,1.0,1,98.87502211200697,5.679749564320197,3.666519508352313,81342.06628222957,-27,0.2,0.8
1.127647059,3.92941e18,305882.3529,30661.76471,0.304117647,8.982843137,1.158333333,8.0,1.0,2.0,1,104.35483508864954,5.815843086711001,4.033784474391884,71213.2780598694,-12,0.2,0.8
1.138235294,1.6e18,988235.2941,276838.2353,0.278235294,5.723039216,1.024019608,2.0,1.0,1.0,1,87.29698859223119,12.684008521234636,3.275293399897128,78488.62596140128,-6,0.2,0.8
0.894705882,1.97647e18,533333.3333,131250.0,0.322941176,5.894607843,1.063235294,6.0,1.0,2.0,1,94.25539882733655,5.444045241355177,3.9494995666272805,67991.53098015285,-7,0.2,0.8
1.921764706,1.29412e18,380392.1569,159044.1176,0.171176471,5.012254902,1.107352941,2.0,1.0,1.0,1,96.50007351817611,4.93638849541543,2.9611186129192784,65462.64058811849,-26,0.2,0.8
1.159411765,2.47059e18,494117.6471,155073.5294,0.141764706,7.904411765,1.015196078,5.0,1.0,2.0,1,119.41078666807493,5.144720023663086,3.6694802197807306,97333.63014947204,-30,0.2,0.8
1.180588235,1.83529e18,1.074509804e6,63750.0,0.215882353,7.291666667,1.089705882,9.0,1.0,1.0,1,94.17640265780979,15.891227904539583,3.1458742666014508,75257.81435767977,-33,0.2,0.8
1.191176471,4.82353e18,964705.8824,106102.9412,0.165294118,7.830882353,1.169117647,12.0,1.0,2.0,1,90.63114140140493,12.78121498989142,3.2781183387293678,81036.6538855693,-31,0.2,0.8
2.112352941,3.12941e18,709803.9216,114044.1176,0.182941176,6.066176471,1.10245098,8.0,1.0,1.0,1,124.70615106430857,27.46414507092396,3.820985719747075,79885.39303177121,-26,0.2,0.8
1.212352941,3.43529e18,313725.4902,76985.29412,0.245294118,7.095588235,1.028921569,3.0,1.0,2.0,1,92.16688610690873,5.755376881317666,3.917628602525565,61031.88774438154,-17,0.2,0.8
1.222941176,1.74118e18,478431.3725,282132.3529,0.184117647,8.272058824,1.190686275,9.0,1.0,1.0,1,97.42297114909707,5.080582277255146,3.696790257914302,80297.99096827811,-27,0.2,0.8
1.233529412,2.72941e18,749019.6078,139191.1765,0.124117647,5.208333333,1.187745098,10.0,1.0,2.0,1,102.06186666890252,9.598380168969127,3.3511427035282075,83620.27445468407,-34,0.2,0.8
1.244117647,2.16471e18,419607.8431,249044.1176,0.225294118,5.428921569,1.007352941,5.0,1.0,1.0,1,87.44357689945916,4.752796486863584,3.7071954447893565,72310.32765284539,-33,0.2,0.8
1.074705882,1.41176e18,929411.7647,237132.3529,0.306470588,9.914215686,1.071078431,3.0,1.0,2.0,1,85.30734916099456,7.520337948282295,3.0868208812378053,67879.17001404769,-6,0.2,0.8
1.265294118,3.03529e18,341176.4706,189485.2941,0.200588235,8.68872549,1.067156863,8.0,1.0,1.0,1,92.83590387647676,5.30175333405634,3.7758504924700667,69306.34230554555,-24,0.2,0.8
1.275882353,2.56471e18,650980.3922,223897.0588,0.313529412,6.654411765,1.177941176,6.0,1.0,2.0,1,82.51201204417833,6.747926493419849,3.3609320429834963,76259.44223110807,-25,0.2,0.8
1.297058824,4.02353e18,1.035294118e6,147132.3529,0.138235294,9.791666667,1.06127451,6.0,1.0,1.0,1,88.03686988525735,17.784302251051837,3.5400925063106423,80827.74128849349,-37,0.2,0.8
1.879411765,1.71765e18,878431.3725,92867.64706,0.338235294,6.605392157,1.125980392,6.0,1.0,2.0,1,124.31744054601715,37.24411414302229,4.23588610361081,86376.91774968918,-28,0.2,0.8
2.313529412,3.29412e17,423529.4118,270220.5882,0.211176471,6.948529412,1.123039216,6.0,1.0,1.0,1,112.57618171682196,10.656095843305016,2.86121222089776,72704.61362038924,-26,0.2,0.8
2.175882353,4.84706e18,756862.7451,226544.1176,0.272352941,8.100490196,1.036764706,5.0,1.0,2.0,1,128.08687089078137,28.622392701322486,3.4371010940636877,76410.13007588772,-31,0.2,0.8
1.328823529,3.27059e18,1.003921569e6,211985.2941,0.242941176,7.879901961,1.093627451,2.0,1.0,1.0,1,100.02117565255129,20.935707290511132,3.3001428703392195,80450.16003712341,-12,0.2,0.8
1.339411765,9.88235e17,458823.5294,49191.17647,0.315882353,9.350490196,1.023039216,4.0,1.0,2.0,1,92.95923905785467,4.634591829369264,3.631250353416481,77095.85256949972,-33,0.2,0.8
2.472352941,2.37647e18,827450.9804,43897.05882,0.299411765,5.674019608,1.160294118,9.0,1.0,1.0,1,131.2368053017426,43.510590497656175,4.324138620123619,82562.69391926248,-11,0.2,0.8
1.360588235,2.82353e18,545098.0392,95514.70588,0.260588235,5.06127451,1.087745098,2.0,1.0,2.0,1,99.13561529025668,7.515260190708591,3.497023563514972,80465.95749937628,-31,0.2,0.8
1.371176471,1.52941e18,1.050980392e6,156397.0588,0.231176471,6.507352941,1.170098039,6.0,1.0,1.0,1,90.46679579524044,23.73680297726259,3.4719944105850944,76588.02502425275,-36,0.2,0.8
2.101764706,2.68235e18,811764.7059,86250.0,0.286470588,9.522058824,1.004411765,4.0,1.0,2.0,1,142.74827298241155,40.83121385394049,4.0695110524306655,86046.38935876428,-15,0.2,0.8
1.847647059,3.97647e18,705882.3529,219926.4706,0.104117647,7.071078431,1.162254902,5.0,1.0,1.0,1,130.97529394570046,23.500217685721303,3.5635726892373616,84891.92428377953,-32,0.2,0.8
2.091176471,1.01176e18,1.015686275e6,295367.6471,0.134705882,8.884803922,1.095588235,8.0,1.0,2.0,1,128.91195503568028,51.25644628545939,4.852397900354258,79539.61447310456,-25,0.2,0.8
1.413529412,4.09412e18,615686.2745,178897.0588,0.271176471,5.772058824,1.114215686,12.0,1.0,1.0,1,90.61807306093363,8.755787839138705,3.2552487308139755,78419.3208887727,-45,0.2,0.8
1.424117647,3.48235e18,925490.1961,59779.41176,0.140588235,6.678921569,1.145588235,9.0,1.0,2.0,1,111.16810803476874,20.97866318615296,3.3329538396797522,81730.18099947425,-35,0.2,0.8
1.434705882,2.25882e18,717647.0588,259632.3529,0.15,8.958333333,1.044607843,1.0,1.0,1.0,1,99.27325274863706,12.26673904458003,3.3101550413974032,76121.99714477749,-33,0.2,0.8
1.445294118,1.67059e18,1.094117647e6,39926.47059,0.168823529,8.639705882,1.017156863,7.0,1.0,2.0,1,135.0988571011513,27.371823798800804,4.1033491762474075,84742.6439402055,-5,0.2,0.8
1.455882353,4.28235e18,941176.4706,33308.82353,0.33,7.022058824,1.069117647,7.0,1.0,1.0,1,127.22201515283433,25.107199953128617,3.713182739375961,87746.88294757935,-8,0.2,0.8
1.582941176,3.83529e18,1.054901961e6,251691.1765,0.185294118,7.56127451,1.109313725,6.0,1.0,2.0,1,97.68309525955331,27.595537130260933,3.464078077996736,76929.07866420607,-31,0.2,0.8
1.477058824,3.62353e18,513725.4902,206691.1765,0.120588235,9.571078431,1.030882353,4.0,1.0,1.0,1,109.42469629718286,6.472450217147319,3.3153047500290196,74912.37996034697,-31,0.2,0.8
1.487647059,4.49412e18,886274.5098,103455.8824,0.257058824,9.963235294,1.18872549,2.0,1.0,2.0,1,113.23133325828297,24.411173905829717,3.6337530859257354,78772.72541470343,4,0.2,0.8
1.498235294,5.88235e17,694117.6471,231838.2353,0.173529412,5.698529412,1.133823529,6.0,1.0,1.0,1,95.01024397482215,14.58273235608162,3.4231188395935965,77786.39106919996,-40,0.2,0.8
1.508823529,3.24706e18,894117.6471,153750.0,0.284117647,5.134803922,1.03872549,8.0,1.0,2.0,1,92.42059749803848,21.057803689377998,3.4091539994027653,79748.02080566708,-38,0.2,0.8
1.540588235,3.57647e18,721568.6275,280808.8235,0.324117647,6.433823529,1.120098039,4.0,1.0,1.0,1,105.2205698383355,15.927203330621547,3.1685743789099323,81624.02472148715,-36,0.2,0.8
1.519411765,4.21176e18,643137.2549,263602.9412,0.113529412,8.394607843,1.08872549,9.0,1.0,2.0,1,119.68861546654037,11.419974192820774,3.2478627409850094,83326.8475352466,-32,0.2,0.8
1.53,2.61176e18,627450.9804,54485.29412,0.197058824,6.850490196,1.048529412,12.0,1.0,1.0,1,112.5489780149454,12.785833936796864,3.528044445656079,85828.18881080228,-43,0.2,0.8
1.551176471,4.70588e17,737254.902,70367.64706,0.251176471,9.767156863,1.082843137,6.0,1.0,2.0,1,122.12805268626813,20.77092191440095,3.8945378787656955,85335.03215480274,-8,0.2,0.8
1.699411765,2.44706e18,1.090196078e6,144485.2941,0.301764706,5.992647059,1.077941176,3.0,1.0,1.0,1,109.25366523500907,40.345791667301235,4.122480338439346,86654.42136625323,-38,0.2,0.8
1.572352941,1.2e18,325490.1961,166985.2941,0.273529412,6.262254902,1.01127451,7.0,1.0,2.0,1,82.96582375196597,4.4894931776860565,3.487989931563082,73194.1675745641,-30,0.2,0.8
1.794705882,1.48235e18,733333.3333,177573.5294,0.115882353,5.404411765,1.059313725,8.0,1.0,1.0,1,120.65373418306712,23.942266442284858,3.945388841860023,85743.88936200658,-30,0.2,0.8
