Column1,BrMin,BrFactor_ADAPT,PoyntingFluxPerBSi,LperpTimesSqrtBSi,StocasticExponent,rMin_AWSoMR,rMinWaveReflection,realization,pfss,UseSurfaceWaveRefl,rmse_Np,shift,Tmin,Tmax
0,9.786002587,0.663890855,627477.0748,281445.0651,0.127047291,1.055335872,1.152832013,0.727272727,1,1,5.330438453804697,-9,0.2,0.8
1,1.590428385,1.42413834,307670.4156,225304.8284,0.294030511,1.062620138,1.102447891,0.363636364,1,2,9.362336469231709,4,0.2,0.8
2,6.212331965,1.003022277,351995.2234,136447.176,0.330024691,1.08467317,1.169549707,0.090909091,1,1,5.721325756943375,3,0.2,0.8
3,3.563326197,0.581093181,408669.8372,172381.7852,0.184033553,1.124034164,1.155343821,0.272727273,1,2,6.718699188727496,-4,0.2,0.8
4,9.23930577,1.307543416,450208.5302,126236.9991,0.191910071,1.061300727,1.109828719,0.272727273,1,1,16191.611211153713,-7,0.2,0.8
5,1.087390904,0.89869488,462564.6615,295539.5171,0.143014446,1.099869206,1.100655012,0.454545455,1,2,5.604380151516143,-5,0.2,0.8
6,5.044858684,0.550009916,779931.6622,100230.7196,0.257210905,1.137016705,1.177377326,0.545454545,1,1,6.5690435333879815,-32,0.2,0.8
7,4.935757723,0.69865034,538828.4126,149443.6491,0.284117733,1.052794808,1.076321852,0.363636364,1,2,5.136792444326979,7,0.2,0.8
8,2.901465974,1.781089588,331966.7041,118390.902,0.324354288,1.076188618,1.167012694,0.0,1,1,1478.0426987007966,12,0.2,0.8
9,4.076198598,1.135526209,364735.979,236813.9022,0.275035316,1.144978463,1.186329001,0.363636364,1,2,6.944424418786766,-11,0.2,0.8
10,7.281993353,0.818014945,693867.2842,185379.7153,0.198066627,1.066701951,1.107566518,0.272727273,1,1,12.643407045213804,2,0.2,0.8
11,8.746327104,0.748751527,319922.136,57256.79543,0.221051483,1.131063303,1.170625626,1.0,1,2,5.970669073044596,-34,0.2,0.8
12,8.007088313,0.600414681,946344.945,156293.7567,0.206577629,1.058742493,1.19178172,0.090909091,1,1,11.21159150007754,-11,0.2,0.8
13,3.360737755,0.91565448,610227.944,248243.1755,0.336242866,1.121497286,1.141738242,0.090909091,1,2,11.326210023010912,-11,0.2,0.8
14,5.16516549,1.171831407,331194.295,192063.2046,0.139202769,1.081135227,1.165667625,0.909090909,1,1,9.111261126867062,11,0.2,0.8
15,2.012370969,0.715445113,384915.2237,102147.3433,0.117327852,1.116773458,1.198770698,0.454545455,1,2,5.655425769140702,-18,0.2,0.8
16,4.268545944,0.652628333,715139.9786,62865.13751,0.149532684,1.054531358,1.168356401,0.090909091,1,1,6.478980785561209,-9,0.2,0.8
17,9.676204277,0.868720301,429016.5015,205583.7539,0.27861379,1.126262793,1.191368239,0.0,1,2,5.315168737327062,-22,0.2,0.8
18,1.4659852,1.084812939,512398.9291,284439.4537,0.201878245,1.088407286,1.137170542,0.363636364,1,1,17.909034625033915,20,0.2,0.8
19,5.711870494,0.799292313,553522.8245,77460.8659,0.181565662,1.102769413,1.174392643,0.0,1,2,8.82140824796839,1,0.2,0.8
20,7.162355513,0.613045782,498565.6505,261240.9047,0.290101761,1.06503903,1.105099006,0.181818182,1,1,5.6478485016647335,-15,0.2,0.8
21,8.236026093,0.952605767,524656.7419,116242.9859,0.13306086,1.077044258,1.162277427,0.0,1,2,17.696773387156657,-8,0.2,0.8
22,0.034959924,1.269888364,441764.1213,36859.06522,0.326337196,1.050425496,1.141713308,0.090909091,1,1,802.5226603922628,17,0.2,0.8
23,7.688696289,1.390074899,397559.7588,271071.83,0.187729328,1.112695065,1.117041775,0.0,1,2,16.821524834077092,-5,0.2,0.8
24,0.894489405,0.564010592,667268.7618,219678.2786,0.234754666,1.09750219,1.136606442,0.545454545,1,1,5.054103818189455,-28,0.2,0.8
25,4.5084431,1.034351699,343545.1014,90457.41159,0.195832425,1.11922793,1.194556829,0.363636364,1,2,6.339682253451892,-3,0.2,0.8
26,9.124931712,0.68536084,801543.9298,165004.4893,0.321632311,1.090963607,1.196312236,0.818181818,1,1,11.717700461293893,-4,0.2,0.8
27,3.353913063,1.329648294,324341.6296,296092.7777,0.107056712,1.056372426,1.118500387,0.0,1,2,9.555862382922744,-19,0.2,0.8
28,8.84309764,0.571627555,365981.9784,65379.07912,0.156417133,1.067554541,1.148776936,0.454545455,1,1,6.673516671811404,-7,0.2,0.8
29,7.368172652,0.760874907,734097.0717,159505.4436,0.124857287,1.105312394,1.199387704,0.545454545,1,2,13.248701222105383,8,0.2,0.8
30,1.497135903,0.957694109,423345.522,236297.8486,0.235774352,1.083003761,1.100045269,0.909090909,1,1,6.845607079619816,-23,0.2,0.8
31,2.651220157,0.622781502,597093.668,107109.9763,0.213755514,1.122024056,1.129602772,0.181818182,1,2,5.424866947633525,-40,0.2,0.8
32,4.013280494,0.808845839,455407.748,231063.2756,0.314279168,1.059778807,1.182307273,0.727272727,1,1,5.360533595625074,-22,0.2,0.8
33,8.164561295,1.096541615,410695.5606,134824.8239,0.309279237,1.064709586,1.073263375,0.727272727,1,2,8.47131534050681,10,0.2,0.8
34,0.124783036,0.873890443,530696.0303,85000.37275,0.112267528,1.08638573,1.086996795,0.727272727,1,1,7.2848557734090065,1,0.2,0.8
35,7.773510143,0.722882167,686619.1443,255920.3416,0.251798241,1.101857185,1.183714098,0.545454545,1,2,7.87312151279357,-24,0.2,0.8
36,0.828090918,1.517015398,353239.7922,166520.4704,0.208537587,1.070677107,1.096219453,0.0,1,1,12.074345056611914,8,0.2,0.8
37,6.349612207,0.927145392,312088.4787,127764.4649,0.167905347,1.142593654,1.173778952,0.909090909,1,2,5.140164237137234,-24,0.2,0.8
38,2.206954272,0.593225029,844714.6295,272456.498,0.282103635,1.053244414,1.171457548,0.454545455,1,1,7.727036126460994,-5,0.2,0.8
39,9.738970911,1.617818721,338343.9763,262883.6646,0.310590631,1.131900965,1.159102524,0.363636364,1,2,16.616828552485362,-7,0.2,0.8
40,1.694919004,0.758131921,621820.9846,177175.5256,0.147401392,1.094048411,1.123366337,0.363636364,1,1,7.518335961003764,-25,0.2,0.8
41,8.285649426,0.626234667,859414.7485,224448.027,0.176270207,1.057629122,1.067856673,0.727272727,1,2,7.385227510524329,3,0.2,0.8
42,3.083416419,0.823341224,395532.891,31112.65427,0.305349472,1.091812141,1.17997979,0.636363636,1,1,5.102790161272535,-7,0.2,0.8
43,5.424616649,0.705930485,440518.4081,269532.1952,0.212458928,1.084244834,1.142479018,0.909090909,1,2,5.500134656963217,-6,0.2,0.8
44,4.594995817,0.54238346,1.078315269e6,250209.0088,0.118873314,1.074367543,1.07498305,0.090909091,1,1,10.071844470048754,2,0.2,0.8
45,9.348514627,0.910358666,564439.1185,141376.3541,0.248540381,1.113928599,1.180343416,0.545454545,1,2,11.328373203721677,-18,0.2,0.8
46,2.397603425,1.194019284,494145.68,96298.45137,0.17160008,1.051076054,1.051120994,1.0,1,1,5219.408615603971,1,0.2,0.8
47,7.897955717,1.062850191,481887.2087,196798.2034,0.103485477,1.085578162,1.169164987,0.818181818,1,2,8.59147090896829,-48,0.2,0.8
48,3.154853396,0.728625982,773895.2288,71617.89002,0.22928352,1.101148024,1.151884326,0.272727273,1,1,8.59147090896829,-48,0.2,0.8
49,4.904499908,1.382652136,427772.4095,101614.8726,0.15260467,1.063905826,1.077010762,0.909090909,1,2,686.9908192402808,-5,0.2,0.8
50,6.864720904,0.588290271,507393.5457,51767.32768,0.319559502,1.062197703,1.078387618,0.636363636,1,1,6.060343125134578,-43,0.2,0.8
51,6.079305375,1.657018582,312643.8769,87141.34956,0.281031437,1.127681336,1.190783413,0.090909091,1,2,641.6555320921884,48,0.2,0.8
52,7.255801999,1.230821962,382889.7864,200811.8056,0.23957862,1.096464254,1.184632397,0.636363636,1,1,12.715215647746868,9,0.2,0.8
53,0.547135,0.673189965,325994.6004,160997.5912,0.264330123,1.055662555,1.188427679,0.363636364,1,2,6.443197696916373,-7,0.2,0.8
54,8.048381389,0.85698442,613039.5446,61487.11522,0.184420289,1.141887546,1.198048593,0.181818182,1,1,11.239356732007511,-4,0.2,0.8
55,1.102807913,1.113422979,345538.4884,108702.1096,0.227626923,1.079031949,1.161340567,0.636363636,1,2,7.1677410624609506,-5,0.2,0.8
56,6.700052693,0.792038661,388350.5721,189653.256,0.268317757,1.107700725,1.147306297,0.181818182,1,1,5.258342370744326,-21,0.2,0.8
57,4.363523689,0.94400175,444151.5323,153716.7206,0.129498867,1.066049407,1.171346817,0.454545455,1,2,8.19087028464262,8,0.2,0.8
58,7.403303438,1.160360107,514432.7637,65896.30173,0.292516591,1.103319068,1.186208871,0.181818182,1,1,876.5762262315662,16,0.2,0.8
59,9.581207421,0.576290217,711543.6925,245282.9896,0.239833658,1.058481713,1.059513046,0.636363636,1,2,5.033998620502876,-25,0.2,0.8
60,0.399228109,0.739837369,569646.9497,299769.2922,0.331513257,1.109853833,1.135663169,0.090909091,1,1,5.283902039684549,-17,0.2,0.8
61,1.849674925,0.554647572,477778.0103,38931.15221,0.200503458,1.103766032,1.182385449,0.363636364,1,2,5.701594379686391,-26,0.2,0.8
62,2.923383708,1.028943949,501685.2261,168108.7544,0.222525039,1.065937947,1.151247944,0.090909091,1,1,65.81611586425562,7,0.2,0.8
63,5.972316328,1.346488173,431893.8019,255402.9641,0.17558394,1.13028789,1.195361691,0.454545455,1,2,16.734702749441354,-6,0.2,0.8
64,3.626338711,1.465350089,376000.45,88690.06658,0.336607573,1.057979818,1.074072598,0.727272727,1,1,1981.9439037730383,-48,0.2,0.8
65,5.582133038,0.639547411,659170.7567,132173.5946,0.14341547,1.120710253,1.135620995,0.363636364,1,2,5.209116409473192,-28,0.2,0.8
66,9.196124824,0.97462491,332896.1575,277214.7699,0.287305746,1.09252999,1.168894063,0.818181818,1,1,5.403735700478667,-25,0.2,0.8
67,3.848378037,0.605220798,648864.7752,94730.53843,0.277348262,1.11416365,1.197819189,1.0,1,2,5.642862054178559,-37,0.2,0.8
68,6.902805008,1.365729909,315987.4372,141905.7985,0.204081089,1.099082312,1.16380862,0.181818182,1,1,10.524944594945088,8,0.2,0.8
69,0.274669286,1.079615827,374348.367,223908.1111,0.179388179,1.05201916,1.182916171,0.363636364,1,2,9.343366413035357,6,0.2,0.8
70,7.625987702,0.656374632,417771.4914,120473.3771,0.332795082,1.137669622,1.17606718,0.0,1,1,5.877711231367155,-44,0.2,0.8
71,4.551930283,1.247826845,473351.7483,173473.7608,0.283734482,1.072479191,1.13697291,0.363636364,1,2,2887.355075753389,-19,0.2,0.8
72,6.511995883,0.99155104,593045.5163,265514.5189,0.116718307,1.075400001,1.144752296,0.181818182,1,1,20.92346542605879,15,0.2,0.8
73,0.982178142,0.609464795,796849.6766,183593.6769,0.105871712,1.063382566,1.164119861,1.0,1,2,7.870026506954789,-18,0.2,0.8
74,5.150052409,0.840296667,460701.0169,73187.22709,0.231321856,1.085473188,1.096315651,0.454545455,1,1,5.623464030552275,-2,0.2,0.8
75,8.998381062,0.77498852,534439.0063,201353.4035,0.19523766,1.090013158,1.091688047,0.545454545,1,2,5.503304018406492,-19,0.2,0.8
76,7.210976935,0.559367728,965444.7202,292843.1135,0.163018204,1.062064877,1.094978877,0.0,1,1,9.130955611947822,4,0.2,0.8
77,9.388575221,1.2108014,362094.4729,54393.3067,0.125569303,1.133692794,1.186276013,0.0,1,2,9.82947750913383,8,0.2,0.8
78,2.808664425,0.689024736,303246.0159,243970.0733,0.130869055,1.118281911,1.161287682,0.545454545,1,1,7.078995996216863,0,0.2,0.8
79,3.801327203,1.541227231,334922.024,46846.62652,0.161241809,1.079506425,1.19911966,1.0,1,2,1319.5468684885143,-18,0.2,0.8
80,7.007276507,0.681802028,604913.3146,123589.789,0.238273666,1.1071984,1.17908507,1.0,1,1,5.933431892463516,-8,0.2,0.8
81,8.395735794,0.881747594,381199.7155,251722.9767,0.215284236,1.069928788,1.171795605,0.272727273,1,2,5.034999236234492,-17,0.2,0.8
82,2.973311015,0.566771469,863802.1968,143289.9436,0.325617198,1.120004146,1.189480755,1.0,1,1,8.225981407020404,0,0.2,0.8
83,0.737298485,0.765649115,436311.722,80803.56063,0.300649154,1.057173004,1.095289985,1.0,1,2,4.865879254969851,-5,0.2,0.8
84,4.661158298,0.83481356,562392.7521,226889.0931,0.159543117,1.11204183,1.130312325,0.545454545,1,1,6.652725313153044,-16,0.2,0.8
85,6.460245885,1.118735773,479022.5314,280931.7069,0.32282392,1.077818897,1.198961403,1.0,1,2,18.890312726295402,17,0.2,0.8
86,3.210637553,0.98624832,491770.9183,111284.1341,0.252129815,1.07489428,1.132323838,0.818181818,1,1,10.712923337836912,-2,0.2,0.8
87,0.141661724,1.73361007,310573.0912,271631.9062,0.190864115,1.135545111,1.183228303,0.181818182,1,2,10.458541488437051,-25,0.2,0.8
88,2.177364575,0.646952136,516262.8885,240494.7015,0.171016329,1.051211593,1.152990963,0.454545455,1,1,5.047205142210689,-10,0.2,0.8
89,1.318158291,1.290546693,393551.2681,151040.0672,0.149746381,1.098278552,1.150737482,0.909090909,1,2,12.415930506523251,4,0.2,0.8
90,5.859454374,0.597916833,347565.7854,214584.6217,0.113810795,1.059697866,1.105535627,0.727272727,1,1,7.062993088732117,15,0.2,0.8
91,8.041537688,1.253056806,302001.7808,80082.82562,0.25605214,1.087643841,1.093589185,1.0,1,2,6.619702291267772,10,0.2,0.8
92,4.780759183,0.630033923,357676.076,286011.2391,0.248007638,1.122550362,1.140622173,0.818181818,1,1,6.889661763173627,-6,0.2,0.8
93,7.434473112,1.017412737,400214.9371,47592.59449,0.146058857,1.086326528,1.19769042,1.0,1,2,183.03730910956884,-48,0.2,0.8
94,1.430854478,0.702213107,742197.7978,209287.3474,0.275729565,1.101993057,1.178492299,0.272727273,1,1,10.150972523940277,1,0.2,0.8
95,8.58859557,0.547236394,576465.0984,192600.7832,0.303102508,1.064238211,1.146223001,0.090909091,1,2,5.539072034958046,-23,0.2,0.8
96,9.950617703,0.732243969,471324.7374,145573.7496,0.165047061,1.070785181,1.148361894,0.818181818,1,1,5.233105569655531,-30,0.2,0.8
97,0.068870473,0.583603675,1.009890677e6,129414.5614,0.136296249,1.080359017,1.100499693,0.090909091,1,2,9.330379393500309,-7,0.2,0.8
98,2.851937881,1.154941885,412570.3186,215972.229,0.21886291,1.116010254,1.180397441,0.909090909,1,1,10.670972763223666,-16,0.2,0.8
99,6.062158449,0.93255231,546038.1955,273706.9691,0.262097932,1.053743685,1.133905366,0.363636364,1,2,12.979910634933526,15,0.2,0.8
